timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%], pstate
2026/06/11 15:24:31.269, 20.13 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:32.270, 20.15 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:33.274, 20.69 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:34.276, 20.82 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:35.292, 20.64 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:36.295, 20.01 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:37.296, 20.06 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:38.300, 19.83 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:39.301, 19.89 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:40.304, 19.04 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:41.315, 17.89 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:42.320, 17.58 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:43.323, 17.49 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:44.325, 17.77 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:45.327, 17.82 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:46.329, 17.75 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:47.337, 17.38 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:48.338, 17.65 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:49.342, 17.92 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:50.354, 17.69 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:51.369, 18.05 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:52.370, 18.03 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:53.370, 17.73 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:54.374, 17.84 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:55.386, 17.96 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:56.403, 18.05 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:57.404, 17.97 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:58.419, 18.27 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:24:59.435, 18.18 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:00.436, 18.23 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:01.452, 18.03 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:02.453, 18.02 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:03.467, 18.06 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:04.468, 17.94 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:05.485, 17.93 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:06.500, 17.81 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:07.503, 17.58 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:08.516, 17.38 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:09.532, 17.49 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:10.549, 17.46 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:11.550, 17.52 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:12.565, 17.52 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:13.580, 17.64 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
