epoch,loss,type_loss,psnr_avr,ssim_avr
4,0.14465,0.09609,20.7429,0.7244
6,0.07691,0.04266,25.3790,0.8317
7,0.07170,0.03903,25.9006,0.8355
8,0.06748,0.03565,25.5606,0.8291
9,0.06381,0.03275,25.9434,0.8334
10,0.06181,0.03125,25.9684,0.8370
11,0.05953,0.02947,25.8834,0.8398
12,0.05781,0.02846,26.1192,0.8474
13,0.05651,0.02744,26.0959,0.8457
14,0.05553,0.02674,26.3701,0.8481
15,0.05477,0.02628,25.5443,0.8384
16,0.05385,0.02565,26.3255,0.8504
17,0.05219,0.02426,26.5483,0.8548
18,0.05125,0.02361,26.4596,0.8540
19,0.05087,0.02340,26.6004,0.8582
20,0.05010,0.02306,26.7509,0.8579
21,0.04917,0.02229,26.7383,0.8523
22,0.04891,0.02215,26.4435,0.8578
23,0.04821,0.02177,26.6188,0.8564
24,0.04791,0.02157,26.7570,0.8594
25,0.04749,0.02132,26.9565,0.8613
26,0.04660,0.02057,27.1006,0.8633
27,0.04606,0.02021,27.2064,0.8615
28,0.04536,0.01965,27.2998,0.8658
29,0.04489,0.01939,27.0815,0.8625
30,0.04462,0.01921,27.3510,0.8628
31,0.04470,0.01934,26.9496,0.8625
32,0.04419,0.01909,27.0629,0.8644
33,0.04335,0.01830,27.4205,0.8657
1,0.05756,0.03115,27.2325,0.8677
2,0.04919,0.02301,27.6428,0.8694
3,0.04561,0.01951,26.8097,0.8638
4,0.04282,0.01690,27.3054,0.8657
5,0.04064,0.01490,27.6907,0.8718
6,0.03902,0.01345,27.5241,0.8712
7,0.03791,0.01231,27.6248,0.8669
8,0.03659,0.01100,27.6569,0.8721
9,0.03533,0.00993,27.0620,0.8666
10,0.03432,0.00915,27.2871,0.8726
11,0.03355,0.00851,27.7289,0.8712
12,0.03295,0.00789,27.6443,0.8746
13,0.03224,0.00740,27.1121,0.8705
14,0.03171,0.00695,27.8219,0.8737
15,0.03132,0.00663,27.5549,0.8760
16,0.03075,0.00612,27.6330,0.8765
17,0.03038,0.00595,27.8405,0.8758
18,0.03024,0.00582,27.8300,0.8698
19,nan,0.00578,27.3445,0.8632
20,nan,0.01248,27.4515,0.8648
21,nan,0.01270,27.4517,0.8648
22,nan,0.01240,27.4511,0.8648
19,0.02988,0.00557,27.8618,0.8767
20,0.02967,0.00552,27.9299,0.8803
21,nan,0.00556,27.5843,0.8748
20,0.02981,0.00610,27.5726,0.8732
20,1.10437,0.00471,4.3205,0.3170
21,1.16872,0.00586,4.3205,0.3170
22,1.10578,0.00527,4.3205,0.3170
23,1.10490,0.00286,4.3205,0.3170
24,1.14162,0.01069,4.3205,0.3170
25,1.07425,0.01058,4.3205,0.3170
26,1.03532,0.00349,4.3205,0.3170
27,1.17541,0.03150,4.3205,0.3170
28,1.13392,0.00988,4.3205,0.3170
29,1.06479,0.00218,4.3205,0.3170
20,0.12050,0.00255,28.2207,0.8902
21,0.11831,0.00317,28.0000,0.8881
22,0.11720,0.00343,27.9296,0.8887
